"TOA5","CR1000_SN6134","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","CVMeta"
"TS","RN","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees",""
"","","Avg","Tot","WVc","WVc","WVc","Max","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Smp"
"2024-04-03 12:10:00",41,0,0,0.145,86.5,4.642,0.16,22.72,2.066667,1019.967,7.2,22.63,60,90,""
"2024-04-03 12:11:00",42,0,0,0.148,87,1.667,0.17,22.72,1.95,1020,6.8,22.65,90,90,""
"2024-04-03 12:12:00",43,0,0,0.188,84.4,13.47,0.5,22.7,1.933333,1019.983,7.7,22.67,44.88,76.83,""
"2024-04-03 12:13:00",44,2,0,0.107,60.9,55.41,0.17,22.78,1.983333,1019.9,7.1,22.62,-2.15,-1.383,""
"2024-04-03 12:14:00",45,1.167,0,0.208,90.5,49.01,0.41,22.77,2.066667,1019.883,8.2,22.65,14.32,-16.48,""
"2024-04-03 12:15:00",46,0,0,0.082,57.62,6.433,0.1,22.63,2.033333,1019.9,7.1,22.65,90,-90,""
"2024-04-03 12:16:00",47,0,0,0.098,60.82,2.373,0.1,22.6,1.9,1019.883,6.9,22.63,90,-90,""
"2024-04-03 12:17:00",48,0,0,0.088,55.84,9.52,0.1,22.6,1.9,1019.9,6.9,22.6,90,-90,""
"2024-04-03 12:18:00",49,0,0,0.102,61,2.532,0.11,22.6,1.85,1019.9,6.8,22.62,90,-90,""
"2024-04-03 12:19:00",50,0,0,0.103,63.12,1.386,0.11,22.58,1.833333,1019.95,6.8,22.63,90,-90,""
"2024-04-03 12:20:00",51,0,0,0.103,64.55,1.08,0.11,22.6,1.816667,1019.917,6.7,22.58,90,-90,""
"2024-04-03 12:21:00",52,0,0,0.102,61.06,5.027,0.12,22.6,1.8,1019.933,6.6,22.57,90,-90,""
"2024-04-03 12:22:00",53,0,0,0.11,66.83,1.366,0.11,22.6,1.8,1019.933,6.7,22.57,90,-90,""
"2024-04-03 12:23:00",54,0,0,0.108,66.98,2.196,0.11,22.6,1.8,1019.95,6.6,22.55,90,-90,""
"2024-04-03 12:24:00",55,0,0,0.11,68.38,1.324,0.12,22.6,1.8,1019.983,6.7,22.5,90,-90,""
"2024-04-03 12:25:00",56,0,0,0.118,68.97,0.647,0.12,22.6,1.816667,1019.933,6.8,22.52,90,-90,""
"2024-04-03 12:26:00",57,0,0,0.113,69.77,1.119,0.12,22.6,1.8,1019.9,6.7,22.53,90,-90,""
"2024-04-03 12:27:00",58,0,0,0.113,69.28,1.251,0.12,22.6,1.8,1019.9,6.7,22.53,90,-90,""
"2024-04-03 12:28:00",59,0,0,0.12,70.78,1.113,0.12,22.6,1.8,1019.9,6.6,22.47,90,-90,""
